Latitude,Longitude,U,Th,K
40.5,-175.5,0.516,0.450,2.373
40.5,-174.5,0.515,0.449,2.367
40.5,-173.5,0.514,0.448,2.364
40.5,-172.5,0.513,0.447,2.360
40.5,-171.5,0.512,0.446,2.358
40.5,-170.5,0.511,0.446,2.356
40.5,-169.5,0.511,0.445,2.354
40.5,-168.5,0.511,0.445,2.354
40.5,-167.5,0.511,0.445,2.355
40.5,-166.5,0.513,0.446,2.360
40.5,-165.5,0.513,0.447,2.362
40.5,-164.5,0.513,0.447,2.363
40.5,-163.5,0.513,0.447,2.364
40.5,-162.5,0.514,0.448,2.367
40.5,-161.5,0.515,0.449,2.372
40.5,-160.5,0.517,0.450,2.379
40.5,-159.5,0.519,0.452,2.386
40.5,-158.5,0.520,0.453,2.392
40.5,-157.5,0.522,0.455,2.399
40.5,-156.5,0.525,0.457,2.410
40.5,-155.5,0.527,0.459,2.419
40.5,-154.5,0.528,0.461,2.427
40.5,-153.5,0.531,0.463,2.438
40.5,-152.5,0.533,0.466,2.448
40.5,-151.5,0.536,0.469,2.460
40.5,-150.5,0.538,0.471,2.471
40.5,-149.5,0.542,0.475,2.487
40.5,-148.5,0.548,0.480,2.510
40.5,-147.5,0.553,0.486,2.533
40.5,-146.5,0.559,0.491,2.556
40.5,-145.5,0.565,0.497,2.580
40.5,-144.5,0.570,0.502,2.604
40.5,-143.5,0.577,0.508,2.631
40.5,-142.5,0.585,0.516,2.666
40.5,-141.5,0.593,0.524,2.698
40.5,-140.5,0.601,0.531,2.731
40.5,-139.5,0.611,0.542,2.775
40.5,-138.5,0.624,0.553,2.825
40.5,-137.5,0.636,0.565,2.877
40.5,-136.5,0.649,0.578,2.932
40.5,-135.5,0.665,0.593,2.996
40.5,-134.5,0.681,0.609,3.066
40.5,-133.5,0.701,0.628,3.148
40.5,-132.5,0.724,0.651,3.243
40.5,-131.5,0.751,0.677,3.356
40.5,-130.5,0.784,0.709,3.494
40.5,-129.5,0.825,0.749,3.663
40.5,-128.5,0.879,0.802,3.885
40.5,-127.5,0.954,0.874,4.192
40.5,-126.5,1.094,1.006,4.749
40.5,-125.5,1.574,1.446,6.609
40.5,-124.5,1.866,1.723,7.763
40.5,-123.5,2.183,2.012,9.043
40.5,-122.5,2.370,2.192,9.849
40.5,-121.5,2.502,2.330,10.507
40.5,-120.5,2.647,2.503,11.369
40.5,-119.5,2.821,2.778,12.882
40.5,-118.5,2.883,2.874,13.428
40.5,-117.5,2.951,2.954,13.819
40.5,-116.5,3.033,3.041,14.211
40.5,-115.5,3.107,3.115,14.533
40.5,-114.5,3.150,3.158,14.707
40.5,-113.5,3.168,3.175,14.771
40.5,-112.5,3.244,3.243,15.017
40.5,-111.5,3.344,3.335,15.337
40.5,-110.5,3.475,3.424,15.440
40.5,-109.5,3.638,3.464,15.074
40.5,-108.5,3.785,3.587,15.376
40.5,-107.5,4.018,3.852,16.373
40.5,-106.5,4.151,3.977,16.868
40.5,-105.5,4.120,3.947,16.764
40.5,-104.5,3.999,3.822,16.243
40.5,-103.5,3.805,3.580,15.291
40.5,-102.5,3.703,3.453,14.789
40.5,-101.5,3.650,3.381,14.494
40.5,-100.5,3.624,3.342,14.329
40.5,-99.5,3.628,3.334,14.275
40.5,-98.5,3.631,3.330,14.238
40.5,-97.5,3.618,3.312,14.145
40.5,-96.5,3.604,3.293,14.067
40.5,-95.5,3.605,3.292,14.049
40.5,-94.5,3.590,3.278,13.986
40.5,-93.5,3.570,3.257,13.904
40.5,-92.5,3.555,3.242,13.846
40.5,-91.5,3.545,3.233,13.805
40.5,-90.5,3.526,3.218,13.746
40.5,-89.5,3.527,3.221,13.752
40.5,-88.5,3.546,3.237,13.810
40.5,-87.5,3.550,3.244,13.829
40.5,-86.5,3.557,3.248,13.846
40.5,-85.5,3.545,3.238,13.806
40.5,-84.5,3.520,3.221,13.739
40.5,-83.5,3.527,3.235,13.785
40.5,-82.5,3.522,3.234,13.767
40.5,-81.5,3.481,3.199,13.621
40.5,-80.5,3.467,3.192,13.539
40.5,-79.5,3.524,3.257,13.639
40.5,-78.5,3.589,3.286,13.713
40.5,-77.5,3.552,3.228,13.464
40.5,-76.5,3.323,3.036,12.721
40.5,-75.5,3.063,2.808,11.928
40.5,-74.5,2.908,2.662,11.385
40.5,-73.5,2.690,2.465,10.659
40.5,-72.5,2.575,2.364,10.241
40.5,-71.5,2.500,2.295,9.949
40.5,-70.5,2.395,2.202,9.550
40.5,-69.5,2.302,2.122,9.161
40.5,-68.5,2.167,2.009,8.668
40.5,-67.5,1.974,1.840,7.977
40.5,-66.5,1.793,1.670,7.292
40.5,-65.5,1.457,1.358,6.006
40.5,-64.5,1.319,1.226,5.482
40.5,-63.5,1.244,1.153,5.195
40.5,-62.5,1.196,1.109,5.016
40.5,-61.5,1.162,1.078,4.888
40.5,-60.5,1.131,1.049,4.771
40.5,-59.5,1.108,1.028,4.681
40.5,-58.5,1.088,1.010,4.607
40.5,-57.5,1.067,0.990,4.525
40.5,-56.5,1.043,0.967,4.432
40.5,-55.5,1.014,0.938,4.320
40.5,-54.5,0.990,0.914,4.227
40.5,-53.5,0.951,0.874,4.076
40.5,-52.5,0.927,0.849,3.980
40.5,-51.5,0.904,0.826,3.892
40.5,-50.5,0.884,0.805,3.812
40.5,-49.5,0.867,0.788,3.747
40.5,-48.5,0.854,0.777,3.699
40.5,-47.5,0.849,0.773,3.680
40.5,-46.5,0.845,0.772,3.669
40.5,-45.5,0.835,0.763,3.630
40.5,-44.5,0.815,0.744,3.556
40.5,-43.5,0.786,0.714,3.444
40.5,-42.5,0.757,0.685,3.335
40.5,-41.5,0.741,0.669,3.273
40.5,-40.5,0.736,0.664,3.254
40.5,-39.5,0.727,0.655,3.221
40.5,-38.5,0.715,0.643,3.174
40.5,-37.5,0.706,0.633,3.140
40.5,-36.5,0.701,0.629,3.123
40.5,-35.5,0.698,0.625,3.110
40.5,-34.5,0.698,0.625,3.111
40.5,-33.5,0.701,0.627,3.123
40.5,-32.5,0.708,0.634,3.150
40.5,-31.5,0.709,0.634,3.153
40.5,-30.5,0.706,0.631,3.145
40.5,-29.5,0.708,0.632,3.151
40.5,-28.5,0.718,0.643,3.195
40.5,-27.5,0.729,0.654,3.239
40.5,-26.5,0.738,0.663,3.275
40.5,-25.5,0.743,0.668,3.297
40.5,-24.5,0.752,0.677,3.335
40.5,-23.5,0.758,0.683,3.363
40.5,-22.5,0.767,0.692,3.401
40.5,-21.5,0.778,0.703,3.449
40.5,-20.5,0.791,0.715,3.502
40.5,-19.5,0.804,0.729,3.559
40.5,-18.5,0.823,0.748,3.640
40.5,-17.5,0.845,0.769,3.732
40.5,-16.5,0.871,0.795,3.841
40.5,-15.5,0.903,0.827,3.976
40.5,-14.5,0.947,0.870,4.158
40.5,-13.5,1.010,0.933,4.418
40.5,-12.5,1.086,1.009,4.736
40.5,-11.5,1.189,1.110,5.167
40.5,-10.5,1.373,1.287,5.931
40.5,-9.5,1.969,1.841,8.303
40.5,-8.5,2.259,2.133,9.654
40.5,-7.5,2.502,2.456,11.374
40.5,-6.5,2.618,2.596,12.082
40.5,-5.5,2.738,2.720,12.629
40.5,-4.5,2.844,2.826,13.076
40.5,-3.5,2.894,2.878,13.263
40.5,-2.5,2.954,2.934,13.500
40.5,-1.5,3.004,2.972,13.654
40.5,-0.5,2.961,2.903,13.254
40.5,0.5,2.746,2.610,11.665
40.5,1.5,2.577,2.431,10.787
40.5,2.5,2.393,2.261,10.016
40.5,3.5,2.213,2.097,9.299
40.5,4.5,1.869,1.783,7.966
40.5,5.5,1.862,1.786,7.943
40.5,6.5,1.908,1.837,8.149
40.5,7.5,1.956,1.886,8.474
40.5,8.5,2.538,2.474,11.259
40.5,9.5,2.593,2.524,11.479
40.5,10.5,1.923,1.847,8.406
40.5,11.5,1.911,1.831,8.252
40.5,12.5,2.253,2.152,9.599
40.5,13.5,2.447,2.352,10.517
40.5,14.5,2.674,2.644,12.073
40.5,15.5,2.798,2.786,12.824
40.5,16.5,2.844,2.833,12.979
40.5,17.5,2.892,2.882,13.171
40.5,18.5,2.997,2.983,13.556
40.5,19.5,3.138,3.124,14.229
40.5,20.5,3.291,3.278,15.029
40.5,21.5,3.293,3.286,15.120
40.5,22.5,3.238,3.227,14.842
40.5,23.5,3.216,3.195,14.651
40.5,24.5,3.176,3.145,14.365
40.5,25.5,3.122,3.092,14.107
40.5,26.5,3.063,3.053,13.960
40.5,27.5,3.060,3.051,13.968
40.5,28.5,3.078,3.061,13.982
40.5,29.5,3.143,3.096,13.999
40.5,30.5,3.153,2.998,13.177
40.5,31.5,3.265,3.069,13.291
40.5,32.5,3.590,3.336,14.120
40.5,33.5,3.658,3.391,14.282
40.5,34.5,3.664,3.391,14.267
40.5,35.5,3.651,3.379,14.222
40.5,36.5,3.558,3.305,14.016
40.5,37.5,3.526,3.278,13.922
40.5,38.5,3.467,3.229,13.749
40.5,39.5,3.466,3.229,13.751
40.5,40.5,3.468,3.229,13.773
40.5,41.5,3.550,3.299,14.042
40.5,42.5,3.796,3.509,14.736
40.5,43.5,3.876,3.582,15.011
40.5,44.5,3.857,3.575,15.020
40.5,45.5,3.841,3.579,15.047
40.5,46.5,3.829,3.634,15.283
40.5,47.5,3.753,3.591,15.076
40.5,48.5,3.705,3.539,14.888
40.5,49.5,3.646,3.483,14.613
40.5,50.5,3.469,3.300,13.850
40.5,51.5,3.355,3.158,13.346
40.5,52.5,3.406,3.169,13.436
40.5,53.5,3.498,3.237,13.727
40.5,54.5,3.565,3.288,13.943
40.5,55.5,3.593,3.308,14.039
40.5,56.5,3.571,3.293,14.009
40.5,57.5,3.593,3.315,14.097
40.5,58.5,3.610,3.328,14.162
40.5,59.5,3.646,3.360,14.290
40.5,60.5,3.728,3.439,14.553
40.5,61.5,3.763,3.472,14.684
40.5,62.5,3.792,3.496,14.803
40.5,63.5,3.854,3.549,15.007
40.5,64.5,3.954,3.630,15.252
40.5,65.5,3.959,3.635,15.288
40.5,66.5,4.001,3.683,15.501
40.5,67.5,4.086,3.784,15.944
40.5,68.5,4.165,3.937,16.682
40.5,69.5,4.283,4.076,17.287
40.5,70.5,4.380,4.197,17.793
40.5,71.5,4.410,4.253,18.033
40.5,72.5,4.503,4.333,18.419
40.5,73.5,4.607,4.414,18.811
40.5,74.5,4.549,4.351,18.656
40.5,75.5,4.556,4.357,18.695
40.5,76.5,4.582,4.386,18.802
40.5,77.5,4.625,4.436,18.969
40.5,78.5,4.734,4.554,19.355
40.5,79.5,4.739,4.569,19.376
40.5,80.5,4.731,4.567,19.302
40.5,81.5,4.742,4.587,19.345
40.5,82.5,4.778,4.628,19.486
40.5,83.5,4.758,4.620,19.442
40.5,84.5,4.725,4.592,19.334
40.5,85.5,4.651,4.524,19.087
40.5,86.5,4.551,4.425,18.767
40.5,87.5,4.522,4.390,18.681
40.5,88.5,4.569,4.422,18.852
40.5,89.5,4.579,4.424,18.892
40.5,90.5,4.545,4.389,18.779
40.5,91.5,4.532,4.374,18.737
40.5,92.5,4.538,4.378,18.763
40.5,93.5,4.550,4.388,18.809
40.5,94.5,4.563,4.399,18.860
40.5,95.5,4.574,4.410,18.905
40.5,96.5,4.574,4.409,18.902
40.5,97.5,4.547,4.383,18.800
40.5,98.5,4.509,4.348,18.652
40.5,99.5,4.466,4.307,18.479
40.5,100.5,4.426,4.272,18.320
40.5,101.5,4.387,4.232,18.147
40.5,102.5,4.312,4.151,17.831
40.5,103.5,4.178,4.023,17.412
40.5,104.5,3.992,3.856,17.024
40.5,105.5,3.916,3.784,16.825
40.5,106.5,3.837,3.716,16.594
40.5,107.5,3.765,3.655,16.350
40.5,108.5,3.714,3.607,16.201
40.5,109.5,3.648,3.552,16.025
40.5,110.5,3.611,3.526,15.962
40.5,111.5,3.589,3.508,15.908
40.5,112.5,3.586,3.497,15.842
40.5,113.5,3.575,3.483,15.774
40.5,114.5,3.546,3.453,15.632
40.5,115.5,3.476,3.384,15.331
40.5,116.5,3.322,3.244,14.783
40.5,117.5,3.229,3.150,14.364
40.5,118.5,3.173,3.085,14.041
40.5,119.5,3.120,3.028,13.754
40.5,120.5,3.060,2.964,13.433
40.5,121.5,3.001,2.907,13.123
40.5,122.5,2.990,2.888,13.097
40.5,123.5,2.973,2.868,13.022
40.5,124.5,3.016,2.899,13.099
40.5,125.5,3.024,2.906,13.124
40.5,126.5,3.031,2.910,13.132
40.5,127.5,2.961,2.827,12.717
40.5,128.5,2.659,2.487,11.143
40.5,129.5,2.312,2.151,9.668
40.5,130.5,1.633,1.527,6.998
40.5,131.5,1.449,1.353,6.232
40.5,132.5,1.363,1.268,5.859
40.5,133.5,1.306,1.211,5.606
40.5,134.5,1.261,1.165,5.405
40.5,135.5,1.234,1.137,5.277
40.5,136.5,1.222,1.124,5.209
40.5,137.5,1.246,1.144,5.279
40.5,138.5,1.297,1.188,5.455
40.5,139.5,1.420,1.297,5.908
40.5,140.5,1.997,1.813,8.046
40.5,141.5,2.039,1.851,8.206
40.5,142.5,1.907,1.731,7.702
40.5,143.5,1.716,1.557,6.974
40.5,144.5,1.158,1.051,4.867
40.5,145.5,1.007,0.913,4.290
40.5,146.5,0.933,0.845,4.006
40.5,147.5,0.880,0.796,3.804
40.5,148.5,0.840,0.758,3.650
40.5,149.5,0.808,0.729,3.525
40.5,150.5,0.781,0.703,3.419
40.5,151.5,0.755,0.679,3.319
40.5,152.5,0.733,0.658,3.232
40.5,153.5,0.710,0.636,3.144
40.5,154.5,0.693,0.620,3.076
40.5,155.5,0.678,0.605,3.018
40.5,156.5,0.665,0.593,2.965
40.5,157.5,0.653,0.581,2.917
40.5,158.5,0.642,0.571,2.874
40.5,159.5,0.635,0.563,2.843
40.5,160.5,0.628,0.557,2.814
40.5,161.5,0.620,0.550,2.784
40.5,162.5,0.612,0.541,2.748
40.5,163.5,0.603,0.532,2.713
40.5,164.5,0.594,0.524,2.678
40.5,165.5,0.589,0.519,2.659
40.5,166.5,0.584,0.514,2.637
40.5,167.5,0.580,0.510,2.621
40.5,168.5,0.575,0.506,2.601
40.5,169.5,0.568,0.498,2.572
40.5,170.5,0.563,0.493,2.550
40.5,171.5,0.558,0.489,2.534
40.5,172.5,0.555,0.486,2.521
40.5,173.5,0.553,0.484,2.513
40.5,174.5,0.549,0.480,2.496
40.5,175.5,0.543,0.475,2.474
40.5,176.5,0.539,0.471,2.458
40.5,177.5,0.535,0.468,2.445
40.5,178.5,0.532,0.465,2.433
40.5,179.5,0.529,0.462,2.422
39.5,-179.5,0.517,0.450,2.374
39.5,-178.5,0.514,0.448,2.362
39.5,-177.5,0.511,0.445,2.352
39.5,-176.5,0.509,0.443,2.342
39.5,-175.5,0.506,0.441,2.334
39.5,-174.5,0.505,0.439,2.328
39.5,-173.5,0.504,0.438,2.324
39.5,-172.5,0.503,0.437,2.320
39.5,-171.5,0.502,0.436,2.318
39.5,-170.5,0.501,0.436,2.316
39.5,-169.5,0.501,0.435,2.314
39.5,-168.5,0.500,0.435,2.313
39.5,-167.5,0.500,0.435,2.312
39.5,-166.5,0.502,0.436,2.318
39.5,-165.5,0.503,0.437,2.321
39.5,-164.5,0.503,0.437,2.321
39.5,-163.5,0.503,0.437,2.324
39.5,-162.5,0.504,0.438,2.327
39.5,-161.5,0.505,0.439,2.331
39.5,-160.5,0.507,0.440,2.337
39.5,-159.5,0.508,0.442,2.343
39.5,-158.5,0.509,0.443,2.348
39.5,-157.5,0.511,0.444,2.355
39.5,-156.5,0.514,0.447,2.367
39.5,-155.5,0.516,0.449,2.376
39.5,-154.5,0.518,0.451,2.384
39.5,-153.5,0.520,0.453,2.394
39.5,-152.5,0.522,0.455,2.402
39.5,-151.5,0.524,0.458,2.414
39.5,-150.5,0.526,0.460,2.424
39.5,-149.5,0.530,0.464,2.440
39.5,-148.5,0.536,0.469,2.462
39.5,-147.5,0.541,0.474,2.485
39.5,-146.5,0.547,0.480,2.508
39.5,-145.5,0.552,0.485,2.529
39.5,-144.5,0.556,0.489,2.550
39.5,-143.5,0.563,0.496,2.578
39.5,-142.5,0.572,0.504,2.613
39.5,-141.5,0.579,0.511,2.642
39.5,-140.5,0.586,0.519,2.675
39.5,-139.5,0.597,0.528,2.717
39.5,-138.5,0.608,0.539,2.762
39.5,-137.5,0.620,0.550,2.812
39.5,-136.5,0.633,0.563,2.866
39.5,-135.5,0.648,0.577,2.928
39.5,-134.5,0.663,0.592,2.994
39.5,-133.5,0.681,0.610,3.069
39.5,-132.5,0.702,0.630,3.157
39.5,-131.5,0.727,0.655,3.262
39.5,-130.5,0.757,0.684,3.389
39.5,-129.5,0.796,0.722,3.550
39.5,-128.5,0.843,0.769,3.748
39.5,-127.5,0.907,0.831,4.012
39.5,-126.5,1.004,0.924,4.406
39.5,-125.5,1.135,1.048,4.937
39.5,-124.5,1.371,1.274,5.894
39.5,-123.5,2.039,1.881,8.488
39.5,-122.5,2.271,2.110,9.486
39.5,-121.5,2.400,2.250,10.215
39.5,-120.5,2.594,2.466,11.271
39.5,-119.5,2.845,2.804,12.980
39.5,-118.5,2.903,2.897,13.510
39.5,-117.5,2.966,2.973,13.910
39.5,-116.5,3.052,3.062,14.306
39.5,-115.5,3.111,3.123,14.577
39.5,-114.5,3.159,3.169,14.762
39.5,-113.5,3.177,3.186,14.825
39.5,-112.5,3.240,3.242,15.000
39.5,-111.5,3.353,3.339,15.288
39.5,-110.5,3.482,3.425,15.409
39.5,-109.5,3.635,3.456,15.014
39.5,-108.5,3.780,3.575,15.319
39.5,-107.5,4.014,3.841,16.380
39.5,-106.5,4.157,3.984,16.925
39.5,-105.5,4.195,4.016,17.001
39.5,-104.5,4.087,3.916,16.584
39.5,-103.5,3.976,3.794,16.110
39.5,-102.5,3.869,3.664,15.596
39.5,-101.5,3.675,3.418,14.635
39.5,-100.5,3.601,3.325,14.259
39.5,-99.5,3.576,3.290,14.109
39.5,-98.5,3.565,3.274,14.032
39.5,-97.5,3.556,3.260,13.966
39.5,-96.5,3.560,3.256,13.942
39.5,-95.5,3.589,3.274,13.974
39.5,-94.5,3.575,3.260,13.905
39.5,-93.5,3.549,3.235,13.806
39.5,-92.5,3.536,3.222,13.753
39.5,-91.5,3.531,3.217,13.727
39.5,-90.5,3.506,3.198,13.651
39.5,-89.5,3.488,3.187,13.611
39.5,-88.5,3.501,3.202,13.660
39.5,-87.5,3.511,3.211,13.695
39.5,-86.5,3.528,3.224,13.747
39.5,-85.5,3.548,3.243,13.807
39.5,-84.5,3.521,3.233,13.780
39.5,-83.5,3.538,3.314,14.139
39.5,-82.5,3.542,3.322,14.137
39.5,-81.5,3.489,3.224,13.655
39.5,-80.5,3.446,3.200,13.514
39.5,-79.5,3.558,3.346,14.057
39.5,-78.5,3.631,3.383,14.196
39.5,-77.5,3.450,3.148,13.201
39.5,-76.5,3.205,2.913,12.285
39.5,-75.5,2.813,2.575,11.085
39.5,-74.5,2.624,2.417,10.424
39.5,-73.5,2.481,2.314,9.913
39.5,-72.5,2.356,2.205,9.444
39.5,-71.5,2.178,2.033,8.760
39.5,-70.5,2.021,1.884,8.157
39.5,-69.5,1.712,1.600,6.976
39.5,-68.5,1.562,1.457,6.399
39.5,-67.5,1.426,1.326,5.884
39.5,-66.5,1.313,1.216,5.453
39.5,-65.5,1.202,1.109,5.031
39.5,-64.5,1.135,1.044,4.775
39.5,-63.5,1.096,1.009,4.630
39.5,-62.5,1.076,0.991,4.554
39.5,-61.5,1.039,0.956,4.415
39.5,-60.5,1.007,0.925,4.291
39.5,-59.5,1.002,0.923,4.273
39.5,-58.5,0.982,0.904,4.196
39.5,-57.5,0.979,0.904,4.188
39.5,-56.5,0.959,0.884,4.111
39.5,-55.5,0.937,0.862,4.023
39.5,-54.5,0.915,0.840,3.938
39.5,-53.5,0.876,0.800,3.788
39.5,-52.5,0.845,0.768,3.667
39.5,-51.5,0.832,0.756,3.615
39.5,-50.5,0.823,0.747,3.580
39.5,-49.5,0.812,0.737,3.538
39.5,-48.5,0.793,0.718,3.466
39.5,-47.5,0.789,0.714,3.449
39.5,-46.5,0.793,0.720,3.465
39.5,-45.5,0.793,0.721,3.469
39.5,-44.5,0.785,0.713,3.436
39.5,-43.5,0.761,0.690,3.348
39.5,-42.5,0.738,0.667,3.260
39.5,-41.5,0.724,0.653,3.207
39.5,-40.5,0.718,0.646,3.182
39.5,-39.5,0.710,0.639,3.154
39.5,-38.5,0.703,0.631,3.125
39.5,-37.5,0.697,0.624,3.102
39.5,-36.5,0.689,0.617,3.074
39.5,-35.5,0.687,0.614,3.065
39.5,-34.5,0.688,0.615,3.070
39.5,-33.5,0.694,0.620,3.092
39.5,-32.5,0.699,0.625,3.113
39.5,-31.5,0.700,0.625,3.118
39.5,-30.5,0.699,0.624,3.115
39.5,-29.5,0.703,0.627,3.130
39.5,-28.5,0.712,0.635,3.165
39.5,-27.5,0.728,0.652,3.229
39.5,-26.5,0.736,0.660,3.264
39.5,-25.5,0.743,0.668,3.294
39.5,-24.5,0.746,0.672,3.312
39.5,-23.5,0.748,0.674,3.324
39.5,-22.5,0.756,0.681,3.358
39.5,-21.5,0.768,0.693,3.407
39.5,-20.5,0.782,0.707,3.468
39.5,-19.5,0.798,0.723,3.536
39.5,-18.5,0.818,0.743,3.618
39.5,-17.5,0.841,0.765,3.712
39.5,-16.5,0.868,0.792,3.826
39.5,-15.5,0.904,0.827,3.974
39.5,-14.5,0.944,0.866,4.140
39.5,-13.5,0.993,0.914,4.346
39.5,-12.5,1.060,0.981,4.627
39.5,-11.5,1.165,1.084,5.063
39.5,-10.5,1.353,1.264,5.838
39.5,-9.5,1.994,1.861,8.371
39.5,-8.5,2.264,2.136,9.639
39.5,-7.5,2.484,2.435,11.261
39.5,-6.5,2.605,2.575,11.967
39.5,-5.5,2.694,2.672,12.426
39.5,-4.5,2.798,2.776,12.880
39.5,-3.5,2.891,2.865,13.225
39.5,-2.5,2.932,2.904,13.348
39.5,-1.5,2.925,2.893,13.282
39.5,-0.5,2.845,2.792,12.746
39.5,0.5,2.577,2.451,10.966
39.5,1.5,2.461,2.320,10.281
39.5,2.5,2.390,2.244,9.912
39.5,3.5,2.237,2.103,9.301
39.5,4.5,1.845,1.749,7.803
39.5,5.5,1.819,1.734,7.710
39.5,6.5,1.893,1.811,8.010
39.5,7.5,1.899,1.807,8.075
39.5,8.5,2.394,2.245,9.987
39.5,9.5,2.408,2.259,10.052
39.5,10.5,1.873,1.780,8.012
39.5,11.5,1.813,1.728,7.764
39.5,12.5,1.877,1.794,8.036
39.5,13.5,1.982,1.901,8.520
39.5,14.5,2.356,2.262,10.109
39.5,15.5,2.525,2.444,10.973
39.5,16.5,2.748,2.723,12.445
39.5,17.5,2.806,2.782,12.653
39.5,18.5,2.746,2.663,11.928
39.5,19.5,2.849,2.770,12.413
39.5,20.5,3.190,3.154,14.336
39.5,21.5,3.275,3.247,14.826
39.5,22.5,3.192,3.166,14.486
39.5,23.5,3.110,3.068,13.960
39.5,24.5,2.988,2.874,12.855
39.5,25.5,2.961,2.848,12.729
39.5,26.5,3.047,3.010,13.688
39.5,27.5,3.113,3.090,14.115
39.5,28.5,3.245,3.212,14.590
39.5,29.5,3.360,3.303,14.824
39.5,30.5,3.533,3.402,14.750
39.5,31.5,3.629,3.471,14.852
39.5,32.5,3.749,3.574,15.150
39.5,33.5,3.785,3.600,15.216
39.5,34.5,3.761,3.568,15.094
39.5,35.5,3.785,3.584,15.150
39.5,36.5,3.791,3.588,15.167
39.5,37.5,3.771,3.569,15.098
39.5,38.5,3.756,3.555,15.041
39.5,39.5,3.767,3.564,15.074
39.5,40.5,3.807,3.598,15.205
39.5,41.5,3.850,3.635,15.352
39.5,42.5,3.895,3.678,15.517
39.5,43.5,3.951,3.729,15.712
39.5,44.5,3.942,3.726,15.708
39.5,45.5,3.915,3.708,15.641
39.5,46.5,3.874,3.681,15.538
39.5,47.5,3.759,3.579,15.102
39.5,48.5,3.518,3.343,14.127
39.5,49.5,3.470,3.324,13.928
39.5,50.5,3.335,3.202,13.431
39.5,51.5,3.236,3.100,13.039
39.5,52.5,3.157,3.004,12.781
39.5,53.5,3.213,3.042,12.970
39.5,54.5,3.453,3.222,13.634
39.5,55.5,3.513,3.255,13.800
39.5,56.5,3.569,3.299,13.973
39.5,57.5,3.596,3.321,14.068
39.5,58.5,3.627,3.347,14.185
39.5,59.5,3.683,3.399,14.390
39.5,60.5,3.725,3.441,14.554
39.5,61.5,3.758,3.475,14.697
39.5,62.5,3.792,3.509,14.862
39.5,63.5,3.853,3.564,15.086
39.5,64.5,3.929,3.622,15.310
39.5,65.5,3.935,3.629,15.365
39.5,66.5,3.967,3.665,15.544
39.5,67.5,4.055,3.755,15.933
39.5,68.5,4.134,3.850,16.372
39.5,69.5,4.275,4.010,17.049
39.5,70.5,4.512,4.298,18.221
39.5,71.5,4.613,4.412,18.744
39.5,72.5,4.592,4.392,18.797
39.5,73.5,4.622,4.419,18.967
39.5,74.5,4.571,4.383,18.890
39.5,75.5,4.516,4.354,18.725
39.5,76.5,4.591,4.432,18.925
39.5,77.5,4.651,4.484,19.105
39.5,78.5,4.672,4.510,19.180
39.5,79.5,4.678,4.521,19.208
39.5,80.5,4.702,4.548,19.291
39.5,81.5,4.739,4.587,19.419
39.5,82.5,4.761,4.619,19.491
39.5,83.5,4.752,4.617,19.470
39.5,84.5,4.720,4.592,19.373
39.5,85.5,4.670,4.548,19.221
39.5,86.5,4.616,4.497,19.081
39.5,87.5,4.614,4.487,19.099
39.5,88.5,4.660,4.512,19.257
39.5,89.5,4.657,4.496,19.244
39.5,90.5,4.511,4.348,18.760
39.5,91.5,4.474,4.307,18.624
39.5,92.5,4.478,4.307,18.637
39.5,93.5,4.493,4.320,18.693
39.5,94.5,4.528,4.348,18.801
39.5,95.5,4.557,4.373,18.903
39.5,96.5,4.565,4.381,18.933
39.5,97.5,4.539,4.356,18.832
39.5,98.5,4.489,4.310,18.636
39.5,99.5,4.440,4.270,18.448
39.5,100.5,4.481,4.321,18.570
39.5,101.5,4.446,4.290,18.414
39.5,102.5,4.372,4.215,18.101
39.5,103.5,4.231,4.068,17.540
39.5,104.5,4.024,3.815,16.580
39.5,105.5,3.930,3.713,16.192
39.5,106.5,3.842,3.631,15.886
39.5,107.5,3.753,3.562,15.604
39.5,108.5,3.683,3.500,15.388
39.5,109.5,3.617,3.452,15.292
39.5,110.5,3.577,3.477,15.651
39.5,111.5,3.551,3.467,15.702
39.5,112.5,3.565,3.478,15.741
39.5,113.5,3.546,3.458,15.651
39.5,114.5,3.417,3.342,15.223
39.5,115.5,3.300,3.231,14.729
39.5,116.5,3.171,3.108,14.144
39.5,117.5,3.088,3.015,13.657
39.5,118.5,2.979,2.857,12.789
39.5,119.5,2.925,2.793,12.442
39.5,120.5,2.915,2.781,12.339
39.5,121.5,2.915,2.748,12.240
39.5,122.5,2.896,2.721,12.123
39.5,123.5,2.841,2.668,11.905
39.5,124.5,2.801,2.631,11.784
39.5,125.5,2.812,2.648,11.889
39.5,126.5,2.924,2.795,12.592
39.5,127.5,2.827,2.697,12.153
39.5,128.5,2.441,2.283,10.263
39.5,129.5,2.134,1.984,8.931
39.5,130.5,1.553,1.449,6.649
39.5,131.5,1.386,1.290,5.958
39.5,132.5,1.304,1.210,5.606
39.5,133.5,1.237,1.141,5.317
39.5,134.5,1.208,1.110,5.177
39.5,135.5,1.216,1.118,5.186
39.5,136.5,1.226,1.125,5.206
39.5,137.5,1.294,1.185,5.448
39.5,138.5,1.727,1.573,7.073
39.5,139.5,1.928,1.752,7.793
39.5,140.5,2.164,1.956,8.536
39.5,141.5,2.122,1.913,8.372
39.5,142.5,1.852,1.678,7.469
39.5,143.5,1.634,1.480,6.656
39.5,144.5,1.099,0.996,4.638
