1.651,1.527,6.917,0.173,0.178,0.665,0.691,0.590,2.162,0.258,0.282,1.482,0.049,0.051,0.588,0.481,0.426,2.020
1.629,1.506,6.825,0.173,0.178,0.665,0.665,0.568,2.081,0.250,0.274,1.437,0.049,0.051,0.581,0.492,0.436,2.060
1.533,1.420,6.466,0.173,0.179,0.665,0.654,0.558,2.044,0.246,0.269,1.412,0.049,0.051,0.577,0.412,0.365,1.768
1.463,1.359,6.198,0.173,0.179,0.667,0.647,0.552,2.022,0.242,0.266,1.394,0.048,0.051,0.572,0.353,0.311,1.543
1.425,1.324,6.045,0.173,0.179,0.668,0.641,0.547,2.004,0.240,0.263,1.378,0.048,0.051,0.569,0.323,0.285,1.428
1.403,1.304,5.954,0.174,0.179,0.670,0.636,0.542,1.988,0.237,0.261,1.364,0.048,0.051,0.566,0.308,0.271,1.366
1.386,1.290,5.887,0.175,0.180,0.674,0.632,0.539,1.975,0.235,0.259,1.353,0.048,0.051,0.564,0.297,0.262,1.323
1.378,1.282,5.849,0.176,0.181,0.676,0.627,0.535,1.962,0.233,0.257,1.341,0.048,0.051,0.561,0.294,0.259,1.310
1.370,1.276,5.819,0.176,0.181,0.677,0.621,0.530,1.941,0.230,0.254,1.325,0.048,0.051,0.557,0.296,0.261,1.318
1.365,1.271,5.795,0.176,0.182,0.679,0.616,0.525,1.926,0.228,0.251,1.312,0.047,0.051,0.555,0.297,0.262,1.323
1.360,1.267,5.776,0.177,0.182,0.680,0.612,0.522,1.915,0.226,0.250,1.302,0.047,0.051,0.553,0.297,0.262,1.326
1.357,1.265,5.762,0.177,0.182,0.682,0.610,0.520,1.905,0.225,0.248,1.294,0.047,0.051,0.552,0.298,0.263,1.329
1.354,1.262,5.752,0.178,0.183,0.683,0.607,0.517,1.898,0.224,0.247,1.288,0.047,0.051,0.550,0.299,0.264,1.333
1.353,1.261,5.743,0.178,0.183,0.686,0.605,0.516,1.892,0.223,0.246,1.282,0.047,0.051,0.549,0.299,0.264,1.334
1.351,1.260,5.737,0.179,0.184,0.688,0.603,0.515,1.887,0.222,0.246,1.278,0.047,0.051,0.548,0.300,0.264,1.335
1.351,1.260,5.735,0.179,0.185,0.690,0.603,0.514,1.884,0.222,0.245,1.274,0.047,0.051,0.548,0.300,0.265,1.340
1.350,1.259,5.733,0.179,0.185,0.690,0.602,0.513,1.881,0.221,0.244,1.271,0.047,0.051,0.547,0.302,0.266,1.344
1.351,1.259,5.733,0.180,0.185,0.692,0.600,0.512,1.878,0.220,0.244,1.269,0.047,0.051,0.547,0.302,0.268,1.348
