Country Code,Country,Sitename,Location,Status,Gross (MWe),Capacity (MWt),Mean LF (%),2013 LF (%),lat (-90 to 90),lng (-180 to 180),alt (m),,
DE,GERMANY,RHEINSBERG,GRANSEE,Permanent Shutdown,70,265,0,0,53.1469917,12.99015,122.3,PRIS,Map
DE,GERMANY,GREIFSWALD-1,GREIFSWALD,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,49.2,PRIS,Map
DE,GERMANY,GREIFSWALD-2,GREIFSWALD,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,49.2,PRIS,Map
DE,GERMANY,GREIFSWALD-3,GREIFSWALD,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,49.2,PRIS,Map
DE,GERMANY,GREIFSWALD-4,GREIFSWALD,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,50.2,PRIS,Map
DE,GERMANY,GREIFSWALD-5,GREIFSWALD,Permanent Shutdown,440,1375,0,0,54.1405861,13.6644222,50.2,PRIS,Map
DE,GERMANY,LINGEN,LINGEN,Permanent Shutdown,268,520,41.5,0,52.48278,7.30694,75.6,PRIS,Map
DE,GERMANY,HDR GROSSWELZHEIM,KARLSTEIN,Permanent Shutdown,27,100,0,0,50.055145,8.984869,158.0,PRIS,Map
DE,GERMANY,KNK II,EGGENSTEIN,Permanent Shutdown,21,58,17.1,0,0,0,-4924.6,PRIS,Map
DE,GERMANY,WUERGASSEN,WUERGASSEN,Permanent Shutdown,670,1912,62.2,0,53.41,10.40889,78.4,PRIS,Map
ES,SPAIN,JOSE CABRERA-1,ALMONACID DE ZORITA,Permanent Shutdown,150,510,69.6,0,40.34917,-2.88444,681.2,PRIS,Map
ES,SPAIN,COFRENTES,COFRENTES,Operational,1102,3237,86.7,86,39.21667,-1.05,435.6,PRIS,Map
ES,SPAIN,TRILLO-1,TRILLO,Operational,1066,3010,86.2,85.2,40.70111,-2.62194,876.5,PRIS,Map
ES,SPAIN,VANDELLOS-2,VANDELLOS,Operational,1087,2941,81.6,84.6,40.95139,0.86667,90.5,PRIS,Map
ES,SPAIN,SANTA MARIA DE GARONA,SANTA MARIA DE GARONA,Long-term Shutdown,466,1381,77.5,0,42.7753,-3.2072917,571.8,PRIS,Map
ES,SPAIN,VANDELLOS-1,VANDELLOS,Permanent Shutdown,500,1670,70.4,0,40.95139,0.86667,90.5,PRIS,Map
ES,SPAIN,ALMARAZ-1,ALMARAZ,Operational,1049,2947,85.6,86.9,39.80806,-5.69694,315.4,PRIS,Map
ES,SPAIN,ALMARAZ-2,ALMARAZ,Operational,1044,2947,87.1,84.1,39.80806,-5.69694,315.4,PRIS,Map
ES,SPAIN,ASCO-1,ASCO,Operational,1033,2954,84,99.7,41.2,0.56944,96.5,PRIS,Map
ES,SPAIN,ASCO-2,ASCO,Operational,1035,2941,86,83.3,41.2,0.56944,96.5,PRIS,Map
FI,FINLAND,LOVIISA-1,LOVIISA,Operational,520,1500,87.1,92.1,60.37222,26.34722,15.7,PRIS,Map
FI,FINLAND,LOVIISA-2,LOVIISA,Operational,520,1500,89,93,60.37222,26.34722,15.7,PRIS,Map
FI,FINLAND,OLKILUOTO-1,OLKILUOTO,Operational,910,2500,92.4,96.9,61.23694,21.44083,21.2,PRIS,Map
FI,FINLAND,OLKILUOTO-2,OLKILUOTO,Operational,910,2500,93.3,92.9,61.23694,21.44083,21.2,PRIS,Map
FR,FRANCE,G-3 (MARCOULE),MARCOULE,Permanent Shutdown,43,260,75.1,0,44.14333,4.70944,99.5,PRIS,Map
FR,FRANCE,PHENIX,MARCOULE,Permanent Shutdown,142,345,40.5,0,0,0,-4924.6,PRIS,Map
FR,FRANCE,FESSENHEIM-1,FESSENHEIM,Operational,920,2785,67.8,57.8,47.9031083,7.5630444,252.1,PRIS,Map
FR,FRANCE,FESSENHEIM-2,FESSENHEIM,Operational,920,2785,68.4,62.5,47.9031083,7.5630444,252.1,PRIS,Map
FR,FRANCE,BUGEY-2,ST.VULBAS,Operational,945,2785,67.8,58.7,45.79833,5.27083,249.7,PRIS,Map
FR,FRANCE,BUGEY-3,ST.VULBAS,Operational,945,2785,64.8,54.2,45.79833,5.27083,249.7,PRIS,Map
FR,FRANCE,BUGEY-4,ST.VULBAS,Operational,917,2785,69.1,92.4,45.79833,5.27083,249.7,PRIS,Map
FR,FRANCE,BUGEY-5,ST.VULBAS,Operational,917,2785,70.2,65.9,45.79833,5.27083,249.7,PRIS,Map
FR,FRANCE,ST. LAURENT B-1,ST. LAURENT DES EAUX,Operational,956,2785,73,60.2,47.72,1.5775,130.4,PRIS,Map
FR,FRANCE,TRICASTIN-1,PIERRELATTE,Operational,955,2785,72.9,73.2,44.32972,4.73222,105.1,PRIS,Map
FR,FRANCE,TRICASTIN-2,PIERRELATTE,Operational,955,2785,72.3,70.7,44.32972,4.73222,105.1,PRIS,Map
FR,FRANCE,G-2 (MARCOULE),MARCOULE,Permanent Shutdown,43,260,0,0,44.14333,4.70944,99.5,PRIS,Map
FR,FRANCE,CHINON A-1,AVOINE,Permanent Shutdown,80,300,0,0,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,GRAVELINES-1,GRAVELINES,Operational,951,2785,69.9,68.5,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,GRAVELINES-2,GRAVELINES,Operational,951,2785,73.2,48.9,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,DAMPIERRE-1,DAMPIERRE-EN-BURLY,Operational,937,2785,71.6,65.1,47.73306,2.51667,177.6,PRIS,Map
FR,FRANCE,ST. LAURENT B-2,ST. LAURENT DES EAUX,Operational,956,2785,70.6,42.2,47.72,1.5775,130.4,PRIS,Map
FR,FRANCE,SUPER-PHENIX,CREYS-MALVILLE,Permanent Shutdown,1242,3000,7.9,0,45.75833,5.47222,270.8,PRIS,Map
FR,FRANCE,TRICASTIN-3,PIERRELATTE,Operational,955,2785,75.3,86.2,44.32972,4.73222,105.1,PRIS,Map
FR,FRANCE,TRICASTIN-4,PIERRELATTE,Operational,955,2785,74.6,81.8,44.32972,4.73222,105.1,PRIS,Map
FR,FRANCE,GRAVELINES-3,GRAVELINES,Operational,951,2785,73.4,80.4,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,GRAVELINES-4,GRAVELINES,Operational,951,2785,75.6,76.8,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,DAMPIERRE-2,DAMPIERRE-EN-BURLY,Operational,937,2785,70.4,83.5,47.73306,2.51667,177.6,PRIS,Map
FR,FRANCE,CHINON A-2,AVOINE,Permanent Shutdown,230,800,71.1,0,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,DAMPIERRE-3,DAMPIERRE-EN-BURLY,Operational,937,2785,73.2,60.9,47.73306,2.51667,177.6,PRIS,Map
FR,FRANCE,DAMPIERRE-4,DAMPIERRE-EN-BURLY,Operational,937,2785,72.1,90.8,47.73306,2.51667,177.6,PRIS,Map
FR,FRANCE,BLAYAIS-1,BRAUD ST.LOUIS,Operational,951,2785,72.1,85.4,45.25583,-0.69306,47.2,PRIS,Map
FR,FRANCE,BLAYAIS-2,BRAUD ST.LOUIS,Operational,951,2785,76.3,61.4,45.25583,-0.69306,47.2,PRIS,Map
FR,FRANCE,BLAYAIS-3,BRAUD ST.LOUIS,Operational,951,2785,78,87.1,45.25583,-0.69306,47.2,PRIS,Map
FR,FRANCE,BLAYAIS-4,BRAUD ST.LOUIS,Operational,951,2785,75.1,64.6,45.25583,-0.69306,47.2,PRIS,Map
FR,FRANCE,PALUEL-1,PALUEL,Operational,1382,3817,71.1,67.7,49.85806,0.63556,87.2,PRIS,Map
FR,FRANCE,PALUEL-2,PALUEL,Operational,1382,3817,70.1,92.5,49.85806,0.63556,87.2,PRIS,Map
FR,FRANCE,PALUEL-3,PALUEL,Operational,1382,3817,67.9,78.6,49.85806,0.63556,87.2,PRIS,Map
FR,FRANCE,PALUEL-4,PALUEL,Operational,1382,3817,71.1,60.4,49.85806,0.63556,87.2,PRIS,Map
FR,FRANCE,CHINON A-3,AVOINE,Permanent Shutdown,480,1170,40.5,0,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,CHINON B-1,AVOINE,Operational,954,2785,72.4,51.4,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,CHINON B-2,AVOINE,Operational,954,2785,73.6,57.2,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,CRUAS-1,CRUAS,Operational,956,2785,71.9,78.9,44.63306,4.75667,176.9,PRIS,Map
FR,FRANCE,CRUAS-2,CRUAS,Operational,956,2785,73,71.5,44.63306,4.75667,176.9,PRIS,Map
FR,FRANCE,CRUAS-3,CRUAS,Operational,956,2785,72.7,85.7,44.63306,4.75667,176.9,PRIS,Map
FR,FRANCE,CRUAS-4,CRUAS,Operational,956,2785,72.1,86.3,44.63306,4.75667,176.9,PRIS,Map
FR,FRANCE,FLAMANVILLE-1,FLAMANVILLE,Operational,1382,3817,69.3,89.5,49.53639,-1.88167,64.4,PRIS,Map
FR,FRANCE,FLAMANVILLE-2,FLAMANVILLE,Operational,1382,3817,70.8,65.5,49.53639,-1.88167,64.4,PRIS,Map
FR,FRANCE,ST. ALBAN-1,SAINT-MAURICE-LEXIL,Operational,1381,3817,67.5,86.1,45.40444,4.75528,193.0,PRIS,Map
FR,FRANCE,ST. ALBAN-2,SAINT-MAURICE-LEXIL,Operational,1381,3817,67.2,62.3,45.40444,4.75528,193.0,PRIS,Map
FR,FRANCE,CHOOZ-A (ARDENNES),CHARLEVILLE,Permanent Shutdown,320,1040,66.2,0,50.09,4.78944,262.6,PRIS,Map
FR,FRANCE,CATTENOM-1,CATTENOM,Operational,1362,3817,69.4,58.2,49.41583,6.21806,218.3,PRIS,Map
FR,FRANCE,GRAVELINES-5,GRAVELINES,Operational,951,2785,75.7,83.2,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,GRAVELINES-6,GRAVELINES,Operational,951,2785,77.6,85,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,CATTENOM-2,CATTENOM,Operational,1362,3817,72.9,85.8,49.41583,6.21806,218.3,PRIS,Map
FR,FRANCE,BELLEVILLE-1,LENE,Operational,1363,3817,70.6,75.4,47.50972,2.875,189.7,PRIS,Map
FR,FRANCE,BELLEVILLE-2,LENE,Operational,1363,3817,72,65.2,47.50972,2.875,189.7,PRIS,Map
FR,FRANCE,CHINON B-3,AVOINE,Operational,954,2785,73.4,74.8,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,CHINON B-4,AVOINE,Operational,954,2785,74.5,84,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,NOGENT-1,NOGENT-SUR-SEINE,Operational,1363,3817,71.7,82.7,48.51528,3.51778,114.9,PRIS,Map
FR,FRANCE,NOGENT-2,NOGENT-SUR-SEINE,Operational,1363,3817,74.7,79.8,48.51528,3.51778,114.9,PRIS,Map
FR,FRANCE,EL-4 (MONTS DARREE),BRENNILIS,Permanent Shutdown,75,250,68.7,0,48.3533,-3.8722028,285.8,PRIS,Map
FR,FRANCE,CATTENOM-3,CATTENOM,Operational,1362,3817,73.7,68.9,49.41583,6.21806,218.3,PRIS,Map
FR,FRANCE,GOLFECH-1,AGEN,Operational,1363,3817,76.2,84.5,44.10667,0.84528,104.7,PRIS,Map
FR,FRANCE,CHOOZ B-1,CHARLEVILLE,Operational,1560,4270,78.3,76.4,50.09,4.78944,262.6,PRIS,Map
FR,FRANCE,PENLY-1,PENLY,Operational,1382,3817,75.9,77.3,49.97667,1.21194,84.1,PRIS,Map
FR,FRANCE,PENLY-2,PENLY,Operational,1382,3817,77.2,88,49.97667,1.21194,84.1,PRIS,Map
FR,FRANCE,CATTENOM-4,CATTENOM,Operational,1362,3817,76.8,52.7,49.41583,6.21806,218.3,PRIS,Map
FR,FRANCE,GOLFECH-2,AGEN,Operational,1363,3817,76.5,82.8,44.10667,0.84528,104.7,PRIS,Map
FR,FRANCE,ST. LAURENT A-1,ST. LAURENT DES EAUX,Permanent Shutdown,500,1650,58.6,0,47.72,1.5775,130.4,PRIS,Map
FR,FRANCE,CHOOZ B-2,CHARLEVILLE,Operational,1560,4270,76,81.2,50.09,4.78944,262.6,PRIS,Map
FR,FRANCE,CIVAUX-1,CIVAUX,Operational,1561,4270,75.6,58.3,46.45667,0.65278,135.8,PRIS,Map
FR,FRANCE,CIVAUX-2,CIVAUX,Operational,1561,4270,76,80.8,46.45667,0.65278,135.8,PRIS,Map
FR,FRANCE,ST. LAURENT A-2,ST. LAURENT DES EAUX,Permanent Shutdown,530,1475,54.1,0,47.72,1.5775,130.4,PRIS,Map
FR,FRANCE,BUGEY-1,ST.VULBAS,Permanent Shutdown,555,1954,53.2,0,45.79833,5.27083,249.7,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-1,SEASCALE,Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,83.0,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-2,SEASCALE,Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,83.0,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-3,SEASCALE,Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,83.0,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-4,SEASCALE,Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,83.0,PRIS,Map
GB,UNITED KINGDOM,SIZEWELL A-1,SIZEWELL,Permanent Shutdown,245,1010,74.7,0,52.215,1.61972,48.4,PRIS,Map
GB,UNITED KINGDOM,SIZEWELL A-2,SIZEWELL,Permanent Shutdown,245,1010,71.3,0,52.215,1.61972,48.4,PRIS,Map
GB,UNITED KINGDOM,OLDBURY A-1,OLDBURY ON SEVERN,Permanent Shutdown,230,730,76.2,71.8,51.648889,-2.570833,52.5,PRIS,Map
GB,UNITED KINGDOM,OLDBURY A-2,OLDBURY ON SEVERN,Permanent Shutdown,230,660,81.3,0,51.648889,-2.570833,52.5,PRIS,Map
GB,UNITED KINGDOM,WINFRITH SGHWR,DORCHESTER,Permanent Shutdown,100,318,60.7,0,50.682,-2.261,73.7,PRIS,Map
GB,UNITED KINGDOM,WYLFA-1,ANGLESEY,Operational,540,1920,70.9,85,53.417,-4.483,70.8,PRIS,Map
GB,UNITED KINGDOM,WYLFA-2,ANGLESEY,Permanent Shutdown,540,1920,69.8,83.6,53.417,-4.483,70.8,PRIS,Map
GB,UNITED KINGDOM,DOUNREAY DFR,DOUNREAY CAITHNESS,Permanent Shutdown,15,60,0,0,58.57814,-3.75233,60.7,PRIS,Map
GB,UNITED KINGDOM,DOUNREAY PFR,DOUNREAY,Permanent Shutdown,250,600,26.9,0,58.57814,-3.75233,60.7,PRIS,Map
GB,UNITED KINGDOM,HINKLEY POINT B-1,HINKLEY,Operational,655,1494,76.8,100.7,51.209034,-3.127477,57.3,PRIS,Map
GB,UNITED KINGDOM,HINKLEY POINT B-2,HINKLEY,Operational,655,1494,72.9,94.7,51.209034,-3.127477,57.3,PRIS,Map
